id,filepath,filename,extension,frontmatter_status,frontmatter
136,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\settings-search,settings-search,,,
137,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\simple-columns,simple-columns,,,
138,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\table-editor-obsidian,table-editor-obsidian,,,
139,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\tag-wrangler,tag-wrangler,,,
140,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\templater-obsidian,templater-obsidian,,,
141,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\terminal,terminal,,,
142,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\toggle-readable-line-length,toggle-readable-line-length,,,
143,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\update-time-on-edit,update-time-on-edit,,,
144,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\various-complements,various-complements,,,
145,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\waypoint,waypoint,,,
146,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\snippets\alinhar-imagens.css,alinhar-imagens,.css,,
147,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\snippets\calouts_proprios.css,calouts_proprios,.css,,
148,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\snippets\imagens-responsivas.css,imagens-responsivas,.css,,
149,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\snippets\numeracao-colorida.css,numeracao-colorida,.css,,
150,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\themes\Minimal,Minimal,,,
151,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\advanced-canvas\data.json,data,.json,,
152,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\advanced-canvas\main.js,main,.js,,
153,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\advanced-canvas\manifest.json,manifest,.json,,
154,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\advanced-canvas\styles.css,styles,.css,,
155,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\auto-card-link\data.json,data,.json,,
156,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\auto-card-link\main.js,main,.js,,
157,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\auto-card-link\manifest.json,manifest,.json,,
158,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\auto-card-link\styles.css,styles,.css,,
159,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\auto-note-mover\data.json,data,.json,,
160,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\auto-note-mover\main.js,main,.js,,
161,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\auto-note-mover\manifest.json,manifest,.json,,
162,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\calendar\data.json,data,.json,,
163,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\calendar\main.js,main,.js,,
164,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\calendar\manifest.json,manifest,.json,,
165,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\callout-manager\data.json,data,.json,,
166,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\callout-manager\main.js,main,.js,,
167,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\callout-manager\manifest.json,manifest,.json,,
168,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\callout-manager\styles.css,styles,.css,,
169,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\callout-suggestions\main.js,main,.js,,
170,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\callout-suggestions\manifest.json,manifest,.json,,
171,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\cmdr\data.json,data,.json,,
172,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\cmdr\main.js,main,.js,,
173,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\cmdr\manifest.json,manifest,.json,,
174,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\cmdr\styles.css,styles,.css,,
175,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\colored-tags-wrangler\data.json,data,.json,,
176,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\colored-tags-wrangler\main.js,main,.js,,
177,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\colored-tags-wrangler\manifest.json,manifest,.json,,
178,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\colored-tags-wrangler\styles.css,styles,.css,,
179,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\darlal-switcher-plus\data.json,data,.json,,
180,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\darlal-switcher-plus\main.js,main,.js,,
181,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\darlal-switcher-plus\manifest.json,manifest,.json,,
182,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\darlal-switcher-plus\styles.css,styles,.css,,
183,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\enhanced-symbols-prettifier\data.json,data,.json,,
184,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\enhanced-symbols-prettifier\main.js,main,.js,,
185,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\enhanced-symbols-prettifier\manifest.json,manifest,.json,,
186,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\extended-graph\data.json,data,.json,,
187,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\extended-graph\main.js,main,.js,,
188,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\extended-graph\manifest.json,manifest,.json,,
189,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\extended-graph\styles.css,styles,.css,,
190,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\find-unlinked-files\data.json,data,.json,,
191,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\find-unlinked-files\main.js,main,.js,,
192,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\find-unlinked-files\manifest.json,manifest,.json,,
193,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\folder-notes\data.json,data,.json,,
194,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\folder-notes\main.js,main,.js,,
195,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\folder-notes\manifest.json,manifest,.json,,
196,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\folder-notes\styles.css,styles,.css,,
197,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\front-matter-timestamps\data.json,data,.json,,
198,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\front-matter-timestamps\main.js,main,.js,,
199,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\front-matter-timestamps\manifest.json,manifest,.json,,
200,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\homepage\data.json,data,.json,,
201,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\homepage\main.js,main,.js,,
202,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\homepage\manifest.json,manifest,.json,,
203,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\homepage\styles.css,styles,.css,,
204,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins\image-converter\data.json,data,.json,,
